Country,HDI,Life expectancy,Expected years of schooling,Mean years of schooling,GNI per capita,HDI rank,Fertility rate
Belize,0.7,70.962,12.42656994,8.847599983,9242.082259,118,1.989
Venezuela (Bolivarian Republic of),0.699,71.105,13.50206427,9.628154421,6184.136,119,2.188
Bolivia (Plurinational State of),0.698,64.928,15.02243817,9.827750206,7987.842247,120,2.584
Morocco,0.698,74.973,14.59442043,6.05,7954.522461,120,2.299
Nauru,0.696,64.014,12.56089218,9.247975,14938.55659,122,3.463
Gabon,0.693,65.694,12.43426472,9.55,11194.21884,123,3.46
Suriname,0.69,70.289,10.95909977,8.388631804,12309.99659,124,2.322
Bhutan,0.681,72.229,13.06449041,5.835794662,10624.87388,125,1.398
Tajikistan,0.679,71.288,10.86102637,11.28955089,4807.213923,126,3.141
El Salvador,0.674,71.475,11.9099355,7.150929928,8886.173528,127,1.785
Iraq,0.673,71.336,12.22275571,6.811878947,9091.865377,128,3.445
Bangladesh,0.67,73.698,11.94633007,7.379059792,6511.122178,129,1.95
Nicaragua,0.669,74.615,12.58347787,7.26,5426.50618,130,2.284
Cabo Verde,0.661,74.722,11.53066323,6.09003905,7601.085433,131,1.879
Tuvalu,0.653,64.854,12.10158014,10.64458626,4754.453732,132,3.144
Equatorial Guinea,0.65,61.19,12.13132742,8.281327014,10662.65921,133,4.17
India,0.644,67.744,12.58370972,6.570700169,6950.526798,134,2.011
Micronesia (Federated States of),0.634,70.925,12.615048,7.33252398,3709.154916,135,2.669
Guatemala,0.629,68.674,10.76720388,5.668648013,8996.415822,136,2.354
Kiribati,0.628,67.661,11.80302,9.128581569,3440.416745,137,3.271
Honduras,0.624,70.728,9.961707633,7.296200514,5271.604988,138,2.34
Lao People's Democratic Republic,0.62,68.999,10.18749046,5.94697053,7744.837346,139,2.448
Vanuatu,0.614,70.492,11.81160992,7.183209727,3243.980494,140,3.697
Sao Tome and Principe,0.613,68.794,12.6637182,5.915788918,4054.106945,141,3.751
Eswatini (Kingdom of),0.61,56.36,14.92692756,5.73,8391.855111,142,2.785
Namibia,0.61,58.059,11.75997928,7.243458294,9200.026599,142,3.248
Myanmar,0.608,67.256,12.06090998,6.518157697,4037.705141,144,2.127
Ghana,0.602,63.945,11.58627987,6.432318439,5380.271535,145,3.507
Kenya,0.601,62.055,11.38448201,7.686359882,4807.716317,146,3.296
Nepal,0.601,70.484,12.64451981,4.485598758,4025.554685,146,2.008
Cambodia,0.6,69.896,11.56094805,5.197100163,4291.113168,148,2.322
Congo,0.593,63.053,12.41647044,8.250552585,2902.808037,149,4.095
Angola,0.591,61.929,12.1676,5.844291601,5327.788251,150,5.209
Cameroon,0.587,60.958,13.38097793,6.537401781,3681.469988,151,4.383
Comoros,0.586,63.68,13.03771042,6.209056832,3260.555466,152,3.912
Zambia,0.569,61.803,11.01797045,7.284893177,3157.35862,153,4.242
Papua New Guinea,0.568,65.958,11.12736798,4.933631146,3710.326885,154,3.165
Timor-Leste,0.566,69.056,13.24177562,6.020059751,1629.160441,155,3.047
Solomon Islands,0.562,70.742,10.30071445,5.8796802,2273.311097,156,3.925
Syrian Arab Republic,0.557,72.3,7.418754527,5.736797587,3594.10679,157,2.704
Haiti,0.552,63.728,11.13756869,5.609468426,2801.712516,158,2.773
Uganda,0.55,63.638,11.49553237,6.235476362,2240.585404,159,4.468
Zimbabwe,0.55,59.391,11.02558696,8.807762621,2078.918063,159,3.437
Nigeria,0.548,53.633,10.51407,7.585969925,4754.836408,161,5.143
Rwanda,0.548,67.129,11.38352013,4.878310204,2316.809277,161,3.749
Togo,0.547,61.588,12.96236085,5.590314011,2214.233649,163,4.196
Mauritania,0.54,64.691,8.051850319,4.754063344,5343.564069,164,4.342
Pakistan,0.54,66.431,7.89510849,4.422319019,5374.270423,164,3.41
C?te d'Ivoire,0.534,58.916,10.10165024,4.23697763,5376.396062,166,4.342
Tanzania (United Republic of),0.532,66.782,8.585740089,5.639967963,2578.156006,167,4.661
Lesotho,0.521,53.036,11.07051125,7.545058784,2708.731464,168,2.98
Senegal,0.517,67.913,9.144550323,2.88736686,3463.806076,169,4.314
Sudan,0.516,65.578,8.501687381,3.87,3514.765869,170,4.384
Djibouti,0.515,62.859,8.028374362,3.889984156,4874.51828,171,2.757
Malawi,0.508,62.898,11.50487088,5.243740082,1432.472806,172,3.849
Benin,0.504,59.954,10.30257988,3.137261725,3406.072937,173,4.895
Gambia,0.495,62.906,8.977899686,4.512420177,2089.626826,174,4.586
Eritrea,0.493,66.604,7.318835512,5.09136442,1957.046464,175,3.786
Ethiopia,0.492,65.645,9.938743514,2.390854081,2368.758391,176,4.063
Liberia,0.487,61.1,10.46585369,5.318104412,1330.419917,177,4.016
Madagascar,0.487,65.23,9.213435879,4.592520237,1463.547925,177,3.791
Guinea-Bissau,0.483,59.861,10.5316806,3.673035,1879.853611,179,3.925
Congo (Democratic Republic of the),0.481,59.743,9.579486913,7.206164799,1080.138308,180,6.106
Guinea,0.471,58.985,10.20014763,2.35910296,2404.165832,181,4.303
Afghanistan,0.462,62.879,10.70538475,2.514790058,1335.205733,182,4.523
Mozambique,0.461,59.625,10.72532345,3.860090017,1219.241361,183,4.561
Sierra Leone,0.458,60.411,9.016348244,3.519426358,1612.666542,184,3.876
Burkina Faso,0.438,59.766,8.091560364,2.318685239,2036.997179,185,4.665
Yemen,0.424,63.72,7.935313345,2.776825958,1105.763435,186,3.716
Burundi,0.42,61.977,9.966378953,3.305215598,712.0260007,187,4.98
Mali,0.41,59.417,7.037249603,1.626710057,2043.672433,188,5.867
Chad,0.394,52.997,8.185526568,2.282753488,1388.897502,189,6.215
Niger,0.394,62.08,7.186131428,1.341352433,1283.309235,189,6.749
Central African Republic,0.387,54.477,7.285887393,3.9531639,869.11237,191,5.918
South Sudan,0.381,55.567,5.634770141,5.726140022,690.6607575,192,4.337
Somalia,0.38,56.107,7.647232333,1.900300026,1072.201461,193,6.202
